order_id,basket_size,total_quantity_in_basket
ORD005962,15,25.42
ORD005963,4,5.4
ORD005964,7,8.0
ORD005965,9,17.1
ORD005966,5,8.29
ORD005967,13,25.68
ORD005968,18,36.74
ORD006094,3,3.0
ORD006095,2,2.1
ORD009845,6,8.0
ORD009846,9,8.56
ORD009847,4,4.76
ORD009848,17,25.07
ORD009849,10,12.16
ORD009850,4,5.12
ORD010355,3,7.64
ORD010809,9,9.0
ORD015427,4,4.0
ORD016899,2,2.0
ORD017749,2,1.92
ORD018707,3,3.14
ORD018708,3,5.0
ORD019602,8,10.0
ORD020767,14,21.0
ORD020769,18,27.06
ORD020772,14,16.85
ORD021354,3,3.0
ORD021438,7,11.0
ORD021439,5,7.0
ORD021440,4,14.0
ORD021926,2,2.0
ORD022548,2,7.0
ORD024181,3,3.0
ORD024182,5,5.0
ORD024184,3,4.0
ORD024185,2,3.0
ORD025698,2,2.0
ORD025700,3,4.0
ORD025701,2,2.0
ORD025702,5,6.0
ORD025703,3,4.0
ORD025705,3,2.38
ORD025706,3,3.0
ORD025708,2,2.0
ORD025944,12,17.0
ORD025945,6,6.0
ORD025946,16,25.0
ORD025948,4,12.0
ORD026066,20,28.2
ORD026067,2,2.0
ORD026227,12,14.0
ORD026519,4,4.0
ORD027360,4,5.0
ORD027361,2,1.42
ORD027447,3,3.15
ORD027908,12,11.6
ORD028163,4,4.0
ORD028164,4,3.75
ORD028165,2,2.0
ORD028167,2,5.0
ORD029201,4,6.0
ORD029383,9,10.0
ORD029587,3,3.0
ORD029588,5,5.0
ORD029589,1,1.0
ORD030099,35,41.55
ORD030911,2,2.0
ORD030914,3,4.0
ORD030975,1,1.0
ORD030976,3,6.0
ORD031484,6,6.0
ORD031485,2,2.0
ORD031486,3,6.42
ORD032090,5,5.0
ORD032325,17,19.42
ORD032326,3,6.08
ORD032327,1,1.23
ORD032328,23,29.55
ORD032329,1,1.0
ORD032330,5,8.0
ORD032331,3,3.0
ORD032332,10,10.25
ORD032333,23,40.0
ORD032334,3,7.61
ORD032335,3,1.59
ORD032336,6,10.74
ORD032338,8,11.56
ORD032339,2,4.89
ORD032340,29,51.0
ORD032517,24,31.13
ORD032838,6,6.43
ORD032839,2,2.0
ORD032893,3,5.24
ORD032948,1,1.0
ORD033349,4,5.42
ORD033350,2,5.0
ORD033351,3,2.49
ORD033352,9,13.0
ORD033353,5,10.0
ORD033354,3,5.0
ORD033356,2,5.0
ORD033357,4,4.0
ORD033358,3,4.0
ORD033359,6,7.0
ORD033360,4,4.0
ORD033361,11,16.0
ORD033362,4,6.0
ORD033363,2,3.0
ORD033364,2,5.0
ORD033365,2,4.0
ORD033366,14,28.0
ORD033367,6,10.13
ORD033945,5,5.0
ORD033946,3,3.0
ORD033947,2,2.0
ORD034677,2,4.0
ORD034678,2,3.0
ORD034913,10,13.71
ORD034914,11,11.0
ORD035213,19,21.0
ORD035214,7,8.0
ORD035215,1,1.0
ORD035216,4,4.0
ORD035218,11,17.82
ORD035219,5,2.52
ORD035222,28,39.0
ORD035223,12,17.0
ORD036004,19,20.65
ORD036005,19,21.88
ORD036006,14,14.89
ORD036007,14,19.01
ORD036009,15,16.36
ORD036010,4,5.97
ORD036011,7,7.37
ORD036012,11,9.57
ORD036013,23,35.72
ORD036209,3,5.0
ORD036210,2,4.0
ORD037139,13,15.0
ORD037140,22,27.6
ORD037141,7,11.08
ORD037228,4,5.0
ORD037818,2,3.02
ORD039067,3,7.68
ORD039068,2,3.0
ORD039069,3,3.0
ORD039070,2,2.0
ORD039071,4,5.0
ORD039072,2,1.18
ORD039073,2,2.0
ORD039074,2,2.0
ORD039075,3,5.0
ORD039076,6,6.0
ORD039077,6,9.0
ORD039078,3,4.0
ORD039278,3,6.0
ORD039719,15,18.0
ORD039720,6,8.0
ORD039721,11,10.27
ORD039722,9,10.0
ORD039723,26,32.52
ORD039944,4,6.79
ORD039945,2,7.0
ORD039946,2,0.35
ORD039947,5,3.97
ORD040168,14,16.31
ORD040169,4,6.0
ORD040362,4,6.0
ORD040363,7,8.0
ORD040364,6,14.63
ORD040761,22,22.36
ORD040821,12,15.0
ORD040822,10,11.0
ORD040823,3,5.13
ORD040824,37,43.16
ORD040825,16,20.0
ORD040826,36,46.0
ORD040827,15,19.0
ORD040828,20,24.72
ORD041043,3,3.0
ORD041235,3,5.12
ORD041442,4,8.0
ORD041443,27,27.71
ORD041444,2,1.68
ORD041445,6,5.85
ORD041446,8,8.34
ORD042103,5,6.0
ORD042432,1,1.0
ORD042740,3,7.0
ORD042741,9,11.38
ORD042742,4,5.49
ORD042743,4,5.0
ORD042744,8,6.99
ORD043514,2,3.0
ORD043515,11,12.0
ORD043516,11,11.0
ORD043517,8,8.43
ORD043518,7,7.15
ORD043519,14,18.0
ORD043520,14,13.71
ORD043521,8,13.0
ORD043522,7,8.0
ORD044504,2,3.0
ORD044505,2,2.0
ORD044506,1,1.0
ORD044507,4,4.0
ORD044508,1,2.0
ORD044532,3,4.0
ORD044533,2,1.84
ORD044534,5,5.21
ORD044536,8,11.5
ORD044538,9,9.63
ORD044539,3,4.65
ORD044674,4,3.62
ORD044676,1,1.24
ORD044812,18,21.0
ORD044813,16,18.35
ORD044814,11,16.01
ORD044815,12,17.0
ORD044816,4,4.0
ORD044817,15,16.33
ORD045170,8,8.13
ORD046414,2,2.0
ORD046571,22,33.0
ORD047110,4,5.57
ORD047328,2,5.0
ORD047384,7,5.41
ORD047412,7,7.0
ORD047413,5,6.81
ORD047414,11,12.44
ORD047416,2,2.0
ORD047417,9,10.35
ORD047418,8,8.0
ORD047419,10,18.56
ORD047420,3,3.35
ORD047745,9,8.65
ORD047746,3,4.0
ORD047747,2,2.98
ORD048315,8,9.0
ORD048715,3,2.19
ORD048716,3,3.0
ORD049126,2,1.26
ORD049127,9,9.0
ORD049128,22,25.0
ORD049129,7,8.0
ORD049130,1,1.0
ORD049131,2,4.01
ORD049132,33,36.0
ORD049133,28,47.7
ORD049218,4,6.5
ORD049219,7,8.6
ORD049644,6,7.0
ORD050154,6,6.39
ORD050288,3,3.0
ORD050289,1,1.0
ORD050290,2,2.0
ORD050291,8,9.1
ORD050292,3,3.0
ORD050476,4,3.7
ORD050477,4,10.13
ORD050893,7,6.48
ORD050894,5,6.0
ORD050940,18,19.97
ORD051045,8,8.94
ORD051150,24,29.29
ORD051151,10,11.19
ORD051152,9,16.88
ORD051233,18,20.0
ORD051234,8,11.0
ORD051235,3,5.01
ORD051236,2,3.0
ORD051237,3,3.49
ORD051238,12,12.42
ORD051239,8,9.0
ORD051240,7,7.1
ORD051241,5,6.93
ORD051242,22,38.51
ORD051290,12,17.62
ORD051301,27,34.23
ORD051302,7,9.0
ORD051303,8,9.07
ORD051304,4,6.0
ORD051453,4,4.0
ORD051546,12,12.65
ORD051547,51,65.78
ORD051548,4,4.0
ORD051551,8,16.48
ORD051552,8,11.13
ORD051767,1,1.0
ORD051771,3,3.0
ORD051772,1,1.0
ORD051773,3,6.0
ORD051777,2,5.0
ORD051831,3,3.0
ORD051832,6,7.06
ORD051996,2,3.79
ORD052019,3,4.0
ORD052020,10,10.0
ORD052021,3,4.0
ORD052022,9,8.15
ORD052023,11,11.0
ORD052024,3,3.0
ORD052027,2,3.0
ORD052028,3,3.02
ORD052029,5,6.0
ORD052030,1,1.0
ORD052031,2,2.0
ORD052032,5,5.1
ORD052033,13,24.0
ORD052034,5,5.27
ORD052035,2,3.0
ORD052036,32,43.22
ORD052037,14,14.35
ORD052038,2,4.0
ORD052039,6,5.2
ORD052040,5,6.0
ORD052041,7,8.48
ORD052042,7,9.02
ORD052043,11,12.82
ORD052044,4,3.34
ORD052045,1,2.0
ORD052046,10,8.83
ORD052049,6,5.15
ORD052050,9,9.0
ORD052051,22,27.1
ORD052052,11,13.0
ORD052053,3,2.68
ORD052054,8,10.37
ORD052056,11,17.0
ORD052057,6,6.0
ORD052058,15,17.92
ORD052059,4,6.0
ORD052060,3,4.0
ORD052062,11,10.32
ORD052063,5,8.0
ORD052064,16,18.0
ORD052065,2,2.0
ORD052066,3,3.44
ORD052067,7,9.28
ORD052068,2,3.09
ORD052069,2,4.35
ORD052070,3,2.27
ORD052071,2,2.0
ORD052073,5,7.0
ORD052075,2,2.01
ORD052076,5,6.17
ORD052077,4,5.0
ORD052078,3,6.35
ORD052079,6,8.5
ORD052080,14,22.29
ORD052081,6,10.27
ORD052083,5,9.78
ORD052084,2,4.95
ORD052085,3,5.0
ORD052086,3,3.81
ORD052087,5,6.78
ORD052088,4,5.0
ORD052090,3,4.0
ORD052091,17,19.0
ORD052092,6,7.26
ORD052093,2,3.0
ORD052095,2,3.0
ORD052097,9,13.85
ORD052098,10,14.0
ORD052099,6,10.0
ORD052100,5,4.04
ORD052101,12,13.54
ORD052102,11,15.14
ORD052103,5,7.0
ORD052104,6,12.0
ORD052105,8,12.39
ORD052106,3,5.54
ORD052107,7,8.58
ORD052108,14,16.77
ORD052110,10,15.27
ORD052111,12,14.0
ORD052112,12,14.0
ORD052113,3,4.0
ORD052114,5,6.05
ORD052115,31,41.12
ORD052116,53,66.3
ORD052118,13,11.36
ORD052119,11,11.36
ORD052120,1,1.0
ORD052121,4,4.0
ORD052122,4,5.0
ORD052123,11,7.43
ORD052124,7,7.0
ORD052125,11,10.45
ORD052126,5,6.0
ORD052127,7,9.78
ORD052128,14,17.0
ORD052130,3,3.0
ORD052132,5,5.0
ORD052133,14,17.69
ORD052134,14,16.44
ORD052135,6,7.41
ORD052136,9,11.2
ORD052137,25,29.24
ORD052138,5,10.53
ORD052139,28,44.76
ORD052141,8,12.0
ORD052142,1,0.56
ORD052143,4,4.2
ORD052144,1,1.11
ORD052145,1,2.0
ORD052147,6,5.0
ORD052148,3,6.27
ORD052149,2,2.65
ORD052150,4,6.35
ORD052151,3,2.18
ORD052152,2,3.0
ORD052153,9,11.0
ORD052154,10,11.33
ORD052155,4,5.0
ORD052156,2,2.0
ORD052157,8,12.0
ORD052158,2,2.0
ORD052159,4,4.0
ORD052160,7,10.75
ORD052161,11,18.62
ORD052162,1,1.0
ORD052163,8,13.92
ORD052164,6,10.5
ORD052165,7,13.6
ORD052167,3,2.87
ORD052168,28,33.53
ORD052169,1,1.0
ORD052170,2,4.0
ORD052171,3,4.17
ORD052172,5,6.0
ORD052173,4,10.36
ORD052174,7,6.42
ORD052175,5,8.19
ORD052176,5,11.17
ORD052177,6,7.0
ORD052178,6,6.0
ORD052179,8,11.45
ORD052180,4,5.41
ORD052181,5,5.0
ORD052182,19,30.11
ORD052184,4,4.19
ORD052185,8,9.09
ORD052186,6,10.56
ORD052187,3,7.05
ORD052190,1,1.0
ORD052191,12,17.15
ORD052192,2,3.48
ORD052193,1,1.0
ORD052194,7,11.55
ORD052195,5,5.0
ORD052196,1,1.0
ORD052197,2,2.0
ORD052198,2,4.0
ORD052199,1,1.0
ORD052200,15,18.73
ORD052202,12,15.0
ORD052204,1,1.0
ORD052205,5,6.0
ORD052206,1,1.0
ORD052208,8,9.0
ORD052209,3,4.0
ORD052210,4,4.0
ORD052211,11,19.24
ORD052212,5,5.0
ORD052214,3,6.04
ORD052215,3,3.33
ORD052216,16,24.7
ORD052217,1,1.0
ORD052218,2,2.03
ORD052219,4,5.25
ORD052220,1,1.0
ORD052221,1,1.0
ORD052223,3,3.0
ORD052224,1,1.0
ORD052225,5,6.0
ORD052227,5,9.0
ORD052228,7,7.57
ORD052229,3,5.0
ORD052230,2,2.17
ORD052231,3,5.0
ORD052232,4,4.45
ORD052233,1,1.0
ORD052234,3,3.04
ORD052235,2,2.0
ORD052236,1,1.0
ORD052237,4,5.0
ORD052238,1,1.0
ORD052239,5,6.47
ORD052240,7,6.6
ORD052242,3,3.0
ORD052243,4,5.19
ORD052244,2,0.9
ORD052246,3,2.58
ORD052247,2,1.63
ORD052249,1,2.7
ORD052250,1,1.07
ORD052251,1,2.88
ORD052252,4,4.0
ORD052253,1,1.0
ORD052255,3,3.0
ORD052256,2,3.0
ORD052257,2,3.28
ORD052259,1,3.0
ORD052261,1,2.07
ORD052262,3,3.56
ORD052264,1,1.0
ORD052265,11,12.0
ORD052266,7,6.9
ORD052267,4,3.87
ORD052268,2,2.0
ORD052269,8,8.0
ORD052270,5,7.0
ORD052271,1,1.0
ORD052273,1,2.61
ORD052274,2,1.5
ORD052275,3,3.0
ORD052276,3,4.0
ORD052277,7,9.0
ORD052280,1,1.0
ORD052281,1,1.0
ORD052282,4,4.0
ORD052283,2,2.0
ORD052285,5,6.17
ORD052287,1,1.0
ORD052288,1,1.0
ORD052289,6,8.08
ORD052292,5,7.0
ORD052294,3,4.35
ORD052295,2,3.0
ORD052296,2,2.0
ORD052298,1,1.0
ORD052299,3,1.29
ORD052302,1,1.0
ORD052303,2,2.0
ORD052304,1,2.92
ORD052306,1,1.0
ORD052308,2,3.0
ORD052309,7,6.0
ORD052310,1,2.0
ORD052314,3,4.0
ORD052317,2,2.46
ORD052318,8,12.56
ORD052319,4,3.57
ORD052320,11,13.25
ORD052323,1,1.09
ORD052324,2,2.0
ORD052325,8,11.02
ORD052326,5,6.0
ORD052327,1,3.05
ORD052328,1,1.34
ORD052330,4,6.0
ORD052331,5,8.69
ORD052332,2,5.09
ORD052333,3,2.83
ORD052334,1,2.0
ORD052335,3,1.32
ORD052336,1,1.0
ORD052337,1,0.5
ORD052338,6,8.0
ORD052339,3,3.95
ORD052340,4,6.07
ORD052341,2,2.0
ORD052342,4,4.0
ORD052343,1,1.0
ORD052344,2,7.0
ORD052345,3,2.55
ORD052346,1,1.0
ORD052347,1,1.0
ORD052349,3,1.99
ORD052350,3,2.76
ORD052351,3,2.81
ORD052352,1,0.96
ORD052353,2,1.35
ORD052354,2,2.0
ORD052355,13,14.83
ORD052356,4,5.51
ORD052358,3,4.0
ORD052360,5,8.0
ORD052362,2,1.59
ORD052363,3,4.0
ORD052364,2,2.0
ORD052366,1,1.0
ORD052367,2,2.0
ORD052369,4,3.72
ORD052370,1,1.0
ORD052371,1,1.0
ORD052373,1,1.0
ORD052374,3,3.0
ORD052375,3,4.0
ORD052379,2,2.0
ORD052382,1,1.0
ORD052383,4,4.0
ORD052384,1,1.0
ORD052385,2,2.0
ORD052386,2,4.0
ORD052391,1,1.0
ORD052393,1,0.64
ORD052395,1,0.77
ORD052399,2,3.0
ORD052401,1,2.0
ORD052402,3,4.0
ORD052403,1,1.0
ORD052405,1,2.0
ORD052406,1,1.0
ORD052407,1,1.0
ORD052410,1,1.0
ORD052412,2,2.0
ORD052415,1,2.0
ORD052421,1,1.0
ORD052422,1,1.0
ORD052423,1,0.51
ORD052424,1,1.0
ORD052425,2,2.0
ORD052426,1,1.0
ORD052427,2,2.0
ORD052428,1,2.0
ORD052429,3,4.0
ORD052430,3,7.04
ORD052433,1,1.0
ORD052437,2,1.9
ORD052438,1,1.06
ORD052439,2,4.0
ORD052440,2,3.56
ORD052444,1,2.07
ORD052446,2,2.0
ORD052447,2,2.62
ORD052451,3,2.73
ORD052452,3,6.0
ORD052454,1,1.0
ORD052455,1,2.0
ORD052456,1,0.83
ORD052457,1,1.0
ORD052458,1,1.1
ORD052464,3,4.69
ORD052465,1,1.0
ORD052466,1,1.0
ORD052468,3,3.0
ORD052469,1,1.0
ORD052470,1,1.0
ORD052472,1,1.0
ORD052473,5,7.05
ORD052476,1,2.0
ORD052478,1,1.0
ORD052479,1,1.0
ORD052481,1,2.0
ORD052482,1,0.26
ORD052484,1,1.0
ORD052485,1,2.0
ORD052486,1,1.0
ORD052487,1,1.0
ORD052488,5,5.49
ORD052490,2,1.54
ORD052491,1,1.14
ORD052493,1,2.0
ORD052500,1,1.0
ORD052503,1,1.0
ORD052510,2,5.0
ORD052512,2,2.0
ORD052514,2,3.0
ORD052515,1,0.51
ORD052521,1,1.0
ORD052525,2,2.0
ORD052529,1,1.0
ORD052530,1,0.54
ORD052531,1,1.0
ORD052537,1,1.0
ORD052545,1,1.0
ORD052549,3,3.0
ORD052550,1,0.54
ORD052551,1,2.83
ORD052554,1,1.13
ORD052558,4,4.0
ORD052559,3,3.0
ORD052566,4,4.0
ORD052567,6,5.88
ORD052569,1,1.0
ORD052570,1,1.0
ORD052571,3,3.0
ORD052572,1,1.85
ORD052573,2,2.66
ORD052574,1,1.0
ORD052576,2,2.0
ORD052577,1,1.0
ORD052581,1,2.02
ORD052582,2,2.0
ORD052591,2,2.0
ORD052592,1,2.0
ORD052593,2,2.39
ORD052597,1,2.0
ORD052599,1,2.0
ORD052601,1,1.01
ORD052607,2,2.0
ORD052609,2,1.26
ORD052610,1,1.0
ORD052611,2,2.0
ORD052613,1,0.12
ORD052615,1,1.0
ORD052617,4,4.88
ORD052618,1,1.0
ORD052622,1,1.0
ORD052624,2,1.21
ORD052625,2,2.0
ORD052627,1,1.0
ORD052628,1,1.0
ORD052629,3,6.0
ORD052630,1,3.32
ORD052631,2,1.79
ORD052635,4,8.81
ORD052636,3,5.93
ORD052637,1,0.46
ORD052638,2,2.98
ORD052639,1,0.57
ORD052640,1,1.0
ORD052641,2,3.0
ORD052642,4,5.0
ORD052644,3,3.0
ORD052645,1,1.0
ORD052646,1,0.58
ORD052648,1,1.0
ORD052649,1,2.0
ORD052650,2,2.0
ORD052656,1,1.0
ORD052657,1,1.0
ORD052659,1,1.0
ORD052660,1,1.0
ORD052662,1,1.0
ORD052665,2,2.0
ORD052671,1,1.14
ORD052672,2,3.0
ORD052674,1,1.0
ORD052676,2,4.29
ORD052680,1,1.0
ORD052685,1,1.0
ORD052686,1,3.11
ORD052688,2,2.0
ORD052689,1,1.0
ORD052692,1,2.0
ORD052694,4,6.67
ORD052697,2,4.53
ORD052700,1,1.0
ORD052701,3,4.0
ORD052702,1,1.0
ORD052706,1,0.51
ORD052709,1,0.52
ORD052713,1,0.8
ORD052716,3,3.0
ORD052717,2,3.0
ORD052718,1,2.0
ORD052719,1,0.57
ORD052722,1,1.0
ORD052724,1,1.0
ORD052727,1,1.0
ORD052736,5,3.91
ORD052737,2,2.0
ORD052740,1,1.0
ORD052741,3,3.0
ORD052749,1,1.0
ORD052751,1,2.4
ORD052753,1,1.0
ORD052756,1,1.51
ORD052757,5,5.0
ORD052761,2,1.95
ORD052765,1,0.36
ORD052772,1,2.0
ORD052773,1,1.0
ORD052783,1,1.0
ORD052785,1,1.0
ORD052788,2,2.04
ORD052790,2,1.46
ORD052792,1,1.0
ORD052797,5,5.0
ORD052798,1,0.71
ORD052799,4,6.0
ORD052800,1,4.0
ORD052805,1,2.0
ORD052807,1,1.0
ORD052808,1,1.0
ORD052809,1,1.0
ORD052812,2,4.0
ORD052814,2,2.0
ORD052815,1,4.17
ORD052817,3,4.0
ORD052823,1,1.0
ORD052832,3,4.01
ORD052836,1,1.0
ORD052838,2,2.0
ORD052839,2,2.0
ORD052841,1,1.0
ORD052843,1,2.0
ORD052844,1,1.0
ORD052846,1,1.14
ORD052848,1,1.0
